interview_data
year,ccode,coicop_1,spending_group,age_group,exp_nominal,coicop_1_label
2024,KEN,1,"[0,12)",65+,521028772.1918515,Food
2024,KEN,1,"[0,12)","[00,15)",6561341003.560384,Food
2024,KEN,1,"[0,12)","[15,30)",4424551224.119864,Food
2024,KEN,1,"[0,12)","[30,45)",2969780764.0894275,Food
2024,KEN,1,"[0,12)","[45,65)",1833045110.8035557,Food
2024,KEN,1,"[12,40)",65+,334449309.8404793,Food
2024,KEN,1,"[12,40)","[00,15)",2826528265.250888,Food
2024,KEN,1,"[12,40)","[15,30)",2889676073.1718125,Food
2024,KEN,1,"[12,40)","[30,45)",2004823063.7986522,Food
2024,KEN,1,"[12,40)","[45,65)",1187429297.8472354,Food
2024,KEN,1,"[120,Inf]",65+,26575018.44589399,Food
2024,KEN,1,"[120,Inf]","[00,15)",241186894.0679426,Food
2024,KEN,1,"[120,Inf]","[15,30)",330024117.13095033,Food
2024,KEN,1,"[120,Inf]","[30,45)",250820380.74246454,Food
2024,KEN,1,"[120,Inf]","[45,65)",138590514.9266494,Food
2024,KEN,1,"[40,80)",65+,117035689.11740884,Food
2024,KEN,1,"[40,80)","[00,15)",1047511966.9912672,Food
2024,KEN,1,"[40,80)","[15,30)",1324021498.5125403,Food
2024,KEN,1,"[40,80)","[30,45)",1130012823.2095518,Food
2024,KEN,1,"[40,80)","[45,65)",610100882.9608911,Food
2024,KEN,1,"[80,120)",65+,15353103.875817902,Food
2024,KEN,1,"[80,120)","[00,15)",138710972.91859737,Food
2024,KEN,1,"[80,120)","[15,30)",181672906.98461396,Food
2024,KEN,1,"[80,120)","[30,45)",150644396.26436016,Food
2024,KEN,1,"[80,120)","[45,65)",75142507.61544865,Food
2024,KEN,2,"[0,12)",65+,19372536.7541726,Alcohol
2024,KEN,2,"[0,12)","[00,15)",116025.57353320895,Alcohol
2024,KEN,2,"[0,12)","[15,30)",240201649.13898224,Alcohol
2024,KEN,2,"[0,12)","[30,45)",205294315.65251666,Alcohol
2024,KEN,2,"[0,12)","[45,65)",118741622.03142683,Alcohol
2024,KEN,2,"[12,40)",65+,13071730.337194612,Alcohol
2024,KEN,2,"[12,40)","[00,15)",110624.04036421138,Alcohol
2024,KEN,2,"[12,40)","[15,30)",430522333.83800554,Alcohol
2024,KEN,2,"[12,40)","[30,45)",313844841.8695415,Alcohol
2024,KEN,2,"[12,40)","[45,65)",128269393.19352426,Alcohol
2024,KEN,2,"[120,Inf]",65+,6157356.150586577,Alcohol
2024,KEN,2,"[120,Inf]","[00,15)",48643.3106522426,Alcohol
2024,KEN,2,"[120,Inf]","[15,30)",94765689.0112631,Alcohol
2024,KEN,2,"[120,Inf]","[30,45)",79947425.34953825,Alcohol
2024,KEN,2,"[120,Inf]","[45,65)",40714683.387774214,Alcohol
2024,KEN,2,"[40,80)",65+,7987062.993571947,Alcohol
2024,KEN,2,"[40,80)","[00,15)",46022.42879165599,Alcohol
2024,KEN,2,"[40,80)","[15,30)",164174835.1267627,Alcohol
2024,KEN,2,"[40,80)","[30,45)",154331788.27377975,Alcohol
2024,KEN,2,"[40,80)","[45,65)",56973202.92397056,Alcohol
2024,KEN,2,"[80,120)",65+,4116176.378831018,Alcohol
2024,KEN,2,"[80,120)","[00,15)",26335.94303668846,Alcohol
2024,KEN,2,"[80,120)","[15,30)",55903662.545282334,Alcohol
